#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
  11600      2.01e+00    1.76e+00      6.35e-02    6.23e-02      7.70e-02    6.58e-02    5.6e-04
  11700      1.50e+00    1.60e+00      1.47e-02    1.49e-02      6.27e-02    6.71e-02    5.6e-04
  11800      1.53e+00    1.69e+00      8.92e-03    1.61e-03      6.45e-02    7.13e-02    5.6e-04
  11900      1.85e+00    1.65e+00      1.46e-02    1.54e-02      7.78e-02    6.92e-02    5.6e-04
  12000      2.49e+00    2.19e+00      4.73e-02    4.26e-02      1.02e-01    8.93e-02    5.6e-04
  12100      1.68e+00    1.49e+00      6.59e-03    8.04e-03      7.08e-02    6.28e-02    5.6e-04
  12200      1.81e+00    1.90e+00      7.56e-04    4.26e-04      7.62e-02    8.02e-02    5.6e-04
  12300      1.60e+00    1.63e+00      1.61e-04    3.15e-03      6.75e-02    6.88e-02    5.6e-04
  12400      1.68e+00    1.83e+00      3.01e-02    2.76e-02      6.90e-02    7.56e-02    5.6e-04
  12500      1.70e+00    1.69e+00      8.29e-04    8.41e-05      7.19e-02    7.14e-02    5.6e-04
  12600      1.94e+00    1.94e+00      1.33e-02    4.98e-03      8.16e-02    8.19e-02    5.6e-04
  12700      1.27e+00    1.70e+00      6.01e-03    3.47e-03      5.36e-02    7.17e-02    5.6e-04
  12800      1.57e+00    1.62e+00      1.11e-02    6.37e-03      6.60e-02    6.82e-02    5.6e-04
  12900      1.49e+00    1.58e+00      9.62e-04    1.20e-03      6.29e-02    6.67e-02    5.6e-04
  13000      1.43e+00    1.87e+00      6.01e-05    2.28e-03      6.02e-02    7.87e-02    5.6e-04
  13100      1.60e+00    1.48e+00      7.04e-03    4.83e-03      6.73e-02    6.23e-02    5.6e-04
  13200      1.84e+00    1.84e+00      2.20e-02    2.22e-02      7.65e-02    7.67e-02    5.6e-04
  13300      1.85e+00    2.09e+00      3.65e-02    4.34e-02      7.56e-02    8.46e-02    5.6e-04
  13400      1.66e+00    1.43e+00      3.57e-03    1.05e-02      7.01e-02    5.99e-02    5.6e-04
  13500      1.65e+00    1.67e+00      9.30e-03    1.03e-02      6.92e-02    7.03e-02    5.6e-04
  13600      1.86e+00    1.68e+00      4.14e-03    2.50e-03      7.84e-02    7.06e-02    5.6e-04
  13700      1.26e+00    1.54e+00      6.15e-03    4.36e-03      5.29e-02    6.48e-02    5.6e-04
  13800      1.77e+00    1.79e+00      1.34e-02    1.12e-02      7.41e-02    7.54e-02    5.6e-04
  13900      1.56e+00    1.76e+00      7.63e-03    9.00e-03      6.54e-02    7.41e-02    5.6e-04
  14000      1.64e+00    1.17e+00      2.14e-02    2.58e-02      6.81e-02    4.74e-02    5.6e-04
  14100      1.78e+00    1.76e+00      1.44e-03    5.82e-04      7.48e-02    7.40e-02    5.6e-04
  14200      1.83e+00    1.47e+00      1.09e-02    9.88e-03      7.70e-02    6.16e-02    5.6e-04
  14300      1.61e+00    1.61e+00      7.57e-04    1.29e-03      6.77e-02    6.79e-02    5.6e-04
  14400      1.67e+00    1.55e+00      3.62e-03    3.51e-03      7.03e-02    6.53e-02    5.6e-04
  14500      1.87e+00    1.13e+00      8.13e-03    2.61e-03      7.88e-02    4.76e-02    5.6e-04
  14600      1.45e+00    1.52e+00      9.53e-03    9.72e-03      6.11e-02    6.39e-02    5.6e-04
  14700      1.89e+00    1.89e+00      2.02e-02    1.88e-02      7.88e-02    7.88e-02    5.6e-04
  14800      1.71e+00    1.59e+00      1.56e-02    1.47e-02      7.15e-02    6.66e-02    5.6e-04
  14900      1.40e+00    1.58e+00      1.97e-02    1.53e-02      5.80e-02    6.61e-02    5.6e-04
  15000      1.50e+00    1.40e+00      7.97e-03    6.38e-03      7.29e-02    6.77e-02    4.2e-04
  15100      1.32e+00    1.28e+00      7.52e-03    6.11e-03      6.41e-02    6.21e-02    4.2e-04
