#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
 152500      5.23e-02    5.87e-02      2.04e-04    5.22e-04      4.80e-02    5.32e-02    1.8e-07
 152600      5.35e-02    5.64e-02      2.20e-04    3.99e-04      4.91e-02    5.15e-02    1.8e-07
 152700      4.97e-02    5.27e-02      2.87e-04    1.95e-04      4.55e-02    4.84e-02    1.8e-07
 152800      5.30e-02    5.02e-02      6.91e-04    8.40e-04      4.72e-02    4.37e-02    1.8e-07
 152900      5.65e-02    6.25e-02      4.66e-04    8.07e-04      5.13e-02    5.57e-02    1.8e-07
 153000      5.63e-02    5.48e-02      1.01e-03    5.71e-05      4.86e-02    5.05e-02    1.8e-07
 153100      5.86e-02    4.83e-02      1.14e-03    9.40e-04      4.99e-02    4.12e-02    1.8e-07
 153200      5.25e-02    5.39e-02      1.81e-04    7.00e-04      4.83e-02    4.80e-02    1.8e-07
 153300      5.53e-02    5.88e-02      3.06e-04    8.70e-04      5.06e-02    5.19e-02    1.8e-07
 153400      5.53e-02    5.28e-02      3.04e-04    3.98e-04      5.07e-02    4.81e-02    1.8e-07
 153500      5.83e-02    5.64e-02      5.82e-04    8.73e-04      5.27e-02    4.95e-02    1.8e-07
 153600      5.54e-02    4.76e-02      7.94e-04    2.31e-04      4.90e-02    4.36e-02    1.8e-07
 153700      4.82e-02    4.41e-02      4.92e-04    2.08e-04      4.35e-02    4.04e-02    1.8e-07
 153800      4.21e-02    5.25e-02      9.83e-05    1.16e-04      3.87e-02    4.84e-02    1.8e-07
 153900      5.39e-02    5.47e-02      3.68e-04    5.17e-04      4.92e-02    4.95e-02    1.8e-07
 154000      3.93e-02    5.56e-02      7.75e-04    8.14e-06      3.34e-02    5.12e-02    1.8e-07
 154100      5.20e-02    5.50e-02      9.68e-04    8.08e-04      4.47e-02    4.85e-02    1.8e-07
 154200      5.11e-02    5.72e-02      6.68e-05    7.26e-05      4.71e-02    5.27e-02    1.8e-07
 154300      5.20e-02    5.71e-02      3.11e-04    1.88e-04      4.76e-02    5.25e-02    1.8e-07
 154400      5.46e-02    5.66e-02      4.31e-05    4.68e-04      5.03e-02    5.14e-02    1.8e-07
 154500      5.41e-02    5.36e-02      1.42e-05    7.96e-04      4.98e-02    4.73e-02    1.8e-07
 154600      5.99e-02    5.50e-02      3.73e-04    5.57e-04      5.48e-02    4.97e-02    1.8e-07
 154700      5.08e-02    5.50e-02      4.01e-04    5.51e-04      4.62e-02    4.97e-02    1.8e-07
 154800      5.52e-02    5.75e-02      5.29e-04    2.69e-04      4.99e-02    5.28e-02    1.8e-07
 154900      5.10e-02    5.13e-02      6.50e-05    1.11e-03      4.70e-02    4.27e-02    1.8e-07
 155000      5.00e-02    5.73e-02      5.23e-04    6.63e-05      4.60e-02    5.38e-02    1.3e-07
 155100      5.61e-02    5.21e-02      5.68e-04    2.36e-04      5.17e-02    4.87e-02    1.3e-07
 155200      6.23e-02    5.49e-02      1.58e-03    4.46e-04      5.07e-02    5.09e-02    1.3e-07
 155300      5.44e-02    4.92e-02      8.26e-04    3.03e-04      4.88e-02    4.59e-02    1.3e-07
 155400      4.92e-02    6.30e-02      4.78e-04    1.66e-03      4.54e-02    5.07e-02    1.3e-07
 155500      4.02e-02    5.23e-02      1.48e-04    5.68e-04      3.77e-02    4.80e-02    1.3e-07
 155600      4.25e-02    5.63e-02      1.94e-04    1.48e-03      3.97e-02    4.53e-02    1.3e-07
 155700      5.84e-02    4.64e-02      1.31e-03    1.55e-04      4.92e-02    4.35e-02    1.3e-07
 155800      5.66e-02    4.97e-02      9.27e-04    1.61e-04      5.04e-02    4.66e-02    1.3e-07
 155900      4.62e-02    5.75e-02      4.43e-04    6.17e-04      4.26e-02    5.28e-02    1.3e-07
 156000      5.60e-02    5.13e-02      4.44e-05    2.10e-04      5.26e-02    4.80e-02    1.3e-07
 156100      5.34e-02    5.48e-02      1.35e-04    3.65e-05      5.01e-02    5.15e-02    1.3e-07
 156200      5.76e-02    4.65e-02      3.28e-04    6.28e-04      5.38e-02    4.21e-02    1.3e-07
 156300      5.16e-02    4.95e-02      5.11e-04    5.38e-04      4.75e-02    4.54e-02    1.3e-07
 156400      5.25e-02    5.17e-02      6.42e-04    3.08e-04      4.78e-02    4.82e-02    1.3e-07
 156500      5.82e-02    5.67e-02      1.12e-03    3.54e-04      5.07e-02    5.29e-02    1.3e-07
 156600      5.99e-02    5.96e-02      4.84e-04    1.52e-03      5.56e-02    4.85e-02    1.3e-07
 156700      4.82e-02    5.21e-02      4.86e-04    5.96e-04      4.44e-02    4.77e-02    1.3e-07
 156800      5.13e-02    4.81e-02      1.20e-04    4.06e-04      4.81e-02    4.45e-02    1.3e-07
 156900      5.82e-02    5.78e-02      6.04e-04    8.71e-04      5.35e-02    5.19e-02    1.3e-07
 157000      4.76e-02    5.88e-02      2.23e-04    1.08e-03      4.45e-02    5.15e-02    1.3e-07
 157100      4.37e-02    5.55e-02      5.11e-04    5.29e-04      3.99e-02    5.12e-02    1.3e-07
 157200      5.16e-02    5.46e-02      3.12e-04    7.64e-04      4.81e-02    4.93e-02    1.3e-07
 157300      5.36e-02    5.31e-02      3.20e-04    1.30e-04      5.00e-02    4.98e-02    1.3e-07
 157400      4.84e-02    5.74e-02      2.97e-04    7.09e-04      4.52e-02    5.23e-02    1.3e-07
 157500      3.58e-02    5.40e-02      2.47e-04    8.83e-05      3.33e-02    5.07e-02    1.3e-07
 157600      5.67e-02    5.21e-02      4.31e-05    4.21e-04      5.33e-02    4.83e-02    1.3e-07
 157700      5.26e-02    5.25e-02      3.63e-04    5.74e-04      4.90e-02    4.82e-02    1.3e-07
 157800      4.99e-02    5.30e-02      4.34e-07    4.33e-04      4.69e-02    4.92e-02    1.3e-07
 157900      4.87e-02    4.52e-02      6.43e-04    1.37e-05      4.42e-02    4.25e-02    1.3e-07
 158000      5.30e-02    5.09e-02      1.67e-04    9.45e-05      4.97e-02    4.78e-02    1.3e-07
 158100      6.20e-02    5.63e-02      8.56e-04    4.39e-04      5.60e-02    5.22e-02    1.3e-07
 158200      5.24e-02    4.51e-02      5.59e-04    3.27e-04      4.81e-02    4.19e-02    1.3e-07
 158300      5.38e-02    6.35e-02      1.14e-03    1.24e-03      4.60e-02    5.52e-02    1.3e-07
 158400      5.01e-02    5.15e-02      1.01e-03    5.48e-04      4.32e-02    4.73e-02    1.3e-07
 158500      7.72e-02    5.35e-02      1.46e-04    7.30e-04      7.25e-02    4.84e-02    1.3e-07
 158600      5.45e-02    4.65e-02      3.48e-04    3.70e-04      5.08e-02    4.32e-02    1.3e-07
 158700      5.37e-02    6.20e-02      3.60e-04    1.37e-03      5.00e-02    5.25e-02    1.3e-07
 158800      5.89e-02    5.27e-02      7.77e-05    9.14e-04      5.53e-02    4.66e-02    1.3e-07
 158900      5.23e-02    5.70e-02      3.96e-04    1.17e-03      4.86e-02    4.90e-02    1.3e-07
 159000      5.25e-02    4.45e-02      5.43e-04    1.45e-04      4.83e-02    4.17e-02    1.3e-07
 159100      4.91e-02    4.06e-02      6.43e-04    3.37e-04      4.45e-02    3.76e-02    1.3e-07
 159200      5.10e-02    4.98e-02      2.05e-04    3.66e-04      4.77e-02    4.63e-02    1.3e-07
 159300      4.86e-02    4.75e-02      7.53e-04    9.61e-04      4.35e-02    4.09e-02    1.3e-07
 159400      5.03e-02    5.49e-02      4.09e-04    1.51e-03      4.66e-02    4.34e-02    1.3e-07
 159500      5.89e-02    5.23e-02      9.28e-04    3.72e-04      5.27e-02    4.87e-02    1.3e-07
 159600      5.53e-02    5.35e-02      8.92e-04    7.79e-04      4.92e-02    4.81e-02    1.3e-07
 159700      4.57e-02    4.93e-02      4.78e-05    7.21e-05      4.30e-02    4.63e-02    1.3e-07
 159800      6.11e-02    5.65e-02      1.25e-03    5.78e-04      5.25e-02    5.20e-02    1.3e-07
 159900      4.94e-02    5.34e-02      1.36e-04    1.47e-04      4.63e-02    5.01e-02    1.3e-07
 160000      4.85e-02    4.80e-02      3.34e-04    3.10e-05      4.58e-02    4.58e-02    1.0e-07
 160100      5.33e-02    5.81e-02      6.10e-04    1.38e-03      4.96e-02    4.90e-02    1.0e-07
 160200      4.70e-02    4.47e-02      3.35e-04    3.31e-04      4.43e-02    4.22e-02    1.0e-07
 160300      4.30e-02    5.54e-02      9.56e-05    1.47e-03      4.09e-02    4.52e-02    1.0e-07
 160400      5.38e-02    4.14e-02      5.16e-05    5.62e-04      5.13e-02    3.80e-02    1.0e-07
 160500      5.69e-02    5.64e-02      8.10e-04    5.29e-04      5.21e-02    5.29e-02    1.0e-07
 160600      4.62e-02    6.94e-02      8.99e-05    2.53e-04      4.41e-02    6.60e-02    1.0e-07
 160700      5.09e-02    4.28e-02      7.81e-04    6.99e-04      4.63e-02    3.87e-02    1.0e-07
 160800      3.57e-02    5.45e-02      3.44e-04    3.82e-04      3.34e-02    5.15e-02    1.0e-07
 160900      5.10e-02    4.61e-02      1.90e-04    3.92e-04      4.85e-02    4.33e-02    1.0e-07
 161000      5.14e-02    4.21e-02      6.94e-04    3.44e-04      4.73e-02    3.96e-02    1.0e-07
 161100      6.05e-02    5.67e-02      8.53e-04    6.28e-04      5.54e-02    5.28e-02    1.0e-07
 161200      5.19e-02    4.65e-02      6.99e-04    2.28e-04      4.78e-02    4.41e-02    1.0e-07
 161300      4.59e-02    4.92e-02      2.09e-05    4.17e-04      4.38e-02    4.63e-02    1.0e-07
 161400      6.15e-02    5.34e-02      3.67e-05    2.48e-04      5.86e-02    5.07e-02    1.0e-07
 161500      5.11e-02    4.23e-02      3.59e-04    3.18e-04      4.83e-02    3.99e-02    1.0e-07
 161600      4.96e-02    5.77e-02      3.33e-04    3.61e-04      4.68e-02    5.46e-02    1.0e-07
 161700      5.15e-02    5.52e-02      1.52e-04    5.55e-04      4.90e-02    5.16e-02    1.0e-07
 161800      4.88e-02    5.37e-02      4.31e-04    3.51e-04      4.59e-02    5.07e-02    1.0e-07
 161900      5.81e-02    5.30e-02      6.13e-04    1.22e-03      5.42e-02    4.51e-02    1.0e-07
 162000      4.83e-02    5.50e-02      6.38e-04    5.38e-06      4.45e-02    5.25e-02    1.0e-07
 162100      4.56e-02    5.14e-02      6.65e-05    6.89e-05      4.34e-02    4.90e-02    1.0e-07
 162200      5.48e-02    6.01e-02      5.74e-04    1.68e-03      5.11e-02    4.80e-02    1.0e-07
 162300      5.30e-02    5.63e-02      4.55e-04    4.98e-04      4.98e-02    5.29e-02    1.0e-07
 162400      5.56e-02    5.44e-02      5.78e-04    1.03e-03      5.19e-02    4.81e-02    1.0e-07
 162500      4.76e-02    5.02e-02      2.42e-04    6.23e-04      4.52e-02    4.64e-02    1.0e-07
 162600      6.79e-02    5.30e-02      6.25e-04    1.03e-03      6.37e-02    4.67e-02    1.0e-07
 162700      5.55e-02    5.45e-02      6.24e-04    5.00e-04      5.16e-02    5.12e-02    1.0e-07
 162800      5.14e-02    5.00e-02      4.45e-04    2.99e-04      4.83e-02    4.73e-02    1.0e-07
 162900      5.59e-02    5.34e-02      2.87e-04    4.57e-04      5.31e-02    5.02e-02    1.0e-07
 163000      4.97e-02    5.70e-02      4.57e-04    9.12e-04      4.66e-02    5.16e-02    1.0e-07
 163100      5.17e-02    6.02e-02      3.79e-04    6.20e-05      4.88e-02    5.74e-02    1.0e-07
 163200      4.60e-02    4.59e-02      1.12e-04    4.48e-04      4.38e-02    4.30e-02    1.0e-07
 163300      4.91e-02    5.08e-02      4.29e-04    1.42e-04      4.62e-02    4.84e-02    1.0e-07
 163400      4.83e-02    5.45e-02      4.71e-04    5.66e-04      4.52e-02    5.08e-02    1.0e-07
 163500      5.52e-02    6.10e-02      6.91e-04    2.81e-04      5.10e-02    5.79e-02    1.0e-07
 163600      6.88e-02    5.40e-02      7.54e-05    8.73e-04      6.56e-02    4.89e-02    1.0e-07
 163700      5.30e-02    5.63e-02      5.77e-04    1.94e-04      4.94e-02    5.36e-02    1.0e-07
 163800      4.81e-02    5.32e-02      5.84e-04    7.94e-04      4.46e-02    4.85e-02    1.0e-07
 163900      4.85e-02    5.47e-02      5.60e-04    7.71e-04      4.50e-02    5.01e-02    1.0e-07
 164000      4.84e-02    5.36e-02      3.02e-04    2.79e-04      4.58e-02    5.08e-02    1.0e-07
 164100      4.58e-02    5.03e-02      1.20e-04    5.56e-05      4.36e-02    4.79e-02    1.0e-07
 164200      5.34e-02    4.29e-02      8.51e-04    1.90e-04      4.84e-02    4.08e-02    1.0e-07
 164300      4.92e-02    5.14e-02      3.20e-04    4.65e-04      4.65e-02    4.82e-02    1.0e-07
 164400      4.16e-02    5.84e-02      4.14e-04    9.47e-04      3.89e-02    5.28e-02    1.0e-07
 164500      5.19e-02    5.58e-02      2.47e-04    4.32e-04      4.93e-02    5.26e-02    1.0e-07
 164600      4.96e-02    4.95e-02      3.25e-04    2.56e-04      4.69e-02    4.69e-02    1.0e-07
 164700      5.05e-02    5.26e-02      1.44e-04    6.85e-04      4.80e-02    4.85e-02    1.0e-07
 164800      4.40e-02    5.60e-02      2.22e-04    3.29e-04      4.18e-02    5.30e-02    1.0e-07
 164900      4.65e-02    5.23e-02      1.94e-04    6.25e-05      4.42e-02    4.99e-02    1.0e-07
 165000      4.76e-02    5.22e-02      4.71e-05    3.04e-05      4.59e-02    5.04e-02    7.5e-08
 165100      4.53e-02    5.04e-02      4.67e-05    1.04e-04      4.37e-02    4.86e-02    7.5e-08
 165200      4.43e-02    4.99e-02      2.52e-04    4.58e-05      4.25e-02    4.81e-02    7.5e-08
 165300      5.02e-02    5.04e-02      3.13e-04    2.33e-04      4.81e-02    4.84e-02    7.5e-08
 165400      4.82e-02    5.58e-02      3.98e-04    1.03e-03      4.59e-02    5.02e-02    7.5e-08
 165500      4.42e-02    5.08e-02      2.73e-04    1.08e-04      4.24e-02    4.90e-02    7.5e-08
 165600      5.28e-02    6.17e-02      8.90e-04    4.89e-05      4.81e-02    5.95e-02    7.5e-08
 165700      5.33e-02    5.03e-02      7.18e-04    5.43e-05      4.96e-02    4.85e-02    7.5e-08
 165800      5.62e-02    5.15e-02      3.83e-04    3.19e-04      5.37e-02    4.93e-02    7.5e-08
 165900      5.02e-02    4.77e-02      4.75e-04    2.98e-04      4.76e-02    4.56e-02    7.5e-08
 166000      4.89e-02    4.98e-02      3.99e-04    1.99e-04      4.65e-02    4.79e-02    7.5e-08
 166100      4.85e-02    5.41e-02      4.21e-04    4.85e-04      4.61e-02    5.14e-02    7.5e-08
 166200      6.91e-02    4.88e-02      5.29e-04    1.25e-04      6.59e-02    4.70e-02    7.5e-08
 166300      5.27e-02    5.50e-02      1.95e-04    3.71e-04      5.07e-02    5.26e-02    7.5e-08
 166400      4.58e-02    4.06e-02      1.39e-04    2.14e-04      4.41e-02    3.89e-02    7.5e-08
 166500      5.11e-02    4.81e-02      8.47e-04    5.02e-05      4.66e-02    4.64e-02    7.5e-08
 166600      4.26e-02    4.80e-02      3.57e-04    3.14e-04      4.06e-02    4.59e-02    7.5e-08
 166700      5.19e-02    5.46e-02      7.57e-04    3.54e-04      4.79e-02    5.22e-02    7.5e-08
 166800      5.48e-02    5.33e-02      7.25e-04    7.51e-05      5.10e-02    5.14e-02    7.5e-08
 166900      5.82e-02    4.84e-02      6.54e-05    2.51e-04      5.61e-02    4.64e-02    7.5e-08
 167000      4.84e-02    4.96e-02      4.82e-04    3.00e-04      4.58e-02    4.75e-02    7.5e-08
 167100      5.10e-02    4.82e-02      4.06e-04    6.42e-05      4.86e-02    4.65e-02    7.5e-08
 167200      5.30e-02    4.97e-02      2.28e-04    6.66e-04      5.10e-02    4.63e-02    7.5e-08
 167300      4.54e-02    5.27e-02      3.18e-04    1.19e-03      4.34e-02    4.56e-02    7.5e-08
 167400      5.16e-02    5.16e-02      8.16e-05    1.73e-04      4.98e-02    4.96e-02    7.5e-08
 167500      5.62e-02    4.31e-02      5.54e-04    3.34e-05      5.32e-02    4.16e-02    7.5e-08
 167600      5.05e-02    4.80e-02      2.28e-04    7.94e-05      4.85e-02    4.62e-02    7.5e-08
 167700      4.86e-02    5.29e-02      1.51e-04    1.89e-05      4.68e-02    5.11e-02    7.5e-08
 167800      5.02e-02    5.50e-02      1.65e-04    3.24e-04      4.83e-02    5.27e-02    7.5e-08
 167900      5.74e-02    5.55e-02      4.75e-04    5.28e-05      5.46e-02    5.36e-02    7.5e-08
 168000      4.82e-02    4.94e-02      3.32e-04    5.55e-04      4.61e-02    4.65e-02    7.5e-08
 168100      5.37e-02    5.30e-02      2.57e-04    4.05e-04      5.16e-02    5.05e-02    7.5e-08
 168200      4.46e-02    5.35e-02      1.89e-04    4.77e-05      4.29e-02    5.16e-02    7.5e-08
 168300      5.62e-02    4.96e-02      7.12e-05    1.47e-04      5.42e-02    4.77e-02    7.5e-08
 168400      4.86e-02    5.26e-02      5.76e-04    2.20e-04      4.56e-02    5.06e-02    7.5e-08
 168500      5.31e-02    5.25e-02      4.88e-04    1.51e-04      5.04e-02    5.05e-02    7.5e-08
 168600      4.86e-02    4.72e-02      2.53e-04    3.25e-04      4.66e-02    4.51e-02    7.5e-08
 168700      5.24e-02    4.65e-02      1.59e-04    1.33e-04      5.04e-02    4.48e-02    7.5e-08
 168800      4.77e-02    5.11e-02      4.90e-04    7.61e-04      4.50e-02    4.71e-02    7.5e-08
 168900      4.96e-02    5.45e-02      3.16e-04    1.88e-04      4.75e-02    5.24e-02    7.5e-08
 169000      5.39e-02    5.19e-02      3.11e-04    2.04e-04      5.17e-02    4.99e-02    7.5e-08
 169100      4.41e-02    4.86e-02      1.52e-04    3.34e-05      4.24e-02    4.69e-02    7.5e-08
 169200      4.24e-02    5.37e-02      2.35e-04    8.71e-04      4.07e-02    4.91e-02    7.5e-08
 169300      4.95e-02    5.17e-02      4.55e-04    9.67e-04      4.70e-02    4.64e-02    7.5e-08
 169400      4.93e-02    5.37e-02      1.76e-04    5.48e-08      4.75e-02    5.18e-02    7.5e-08
 169500      5.51e-02    3.82e-02      5.86e-04    4.99e-04      5.20e-02    3.56e-02    7.5e-08
 169600      4.95e-02    5.45e-02      4.36e-04    1.21e-04      4.70e-02    5.25e-02    7.5e-08
 169700      4.91e-02    5.76e-02      7.96e-05    1.04e-03      4.73e-02    5.20e-02    7.5e-08
 169800      4.72e-02    5.31e-02      5.77e-04    6.74e-04      4.42e-02    4.96e-02    7.5e-08
 169900      5.12e-02    4.61e-02      3.99e-04    3.91e-05      4.88e-02    4.44e-02    7.5e-08
 170000      4.93e-02    5.15e-02      6.32e-04    1.62e-04      4.64e-02    5.00e-02    5.6e-08
 170100      5.10e-02    5.40e-02      3.48e-04    2.95e-04      4.92e-02    5.22e-02    5.6e-08
 170200      5.29e-02    5.98e-02      5.07e-04    1.43e-03      5.06e-02    5.14e-02    5.6e-08
 170300      5.13e-02    4.67e-02      8.18e-04    3.46e-04      4.74e-02    4.50e-02    5.6e-08
 170400      5.13e-02    5.01e-02      8.52e-05    1.76e-04      4.99e-02    4.86e-02    5.6e-08
 170500      4.48e-02    5.13e-02      2.39e-04    3.96e-04      4.33e-02    4.93e-02    5.6e-08
 170600      5.49e-02    5.04e-02      3.27e-04    1.69e-04      5.30e-02    4.90e-02    5.6e-08
 170700      5.55e-02    4.69e-02      1.50e-05    3.75e-04      5.40e-02    4.51e-02    5.6e-08
 170800      5.43e-02    4.88e-02      1.08e-03    3.23e-04      4.87e-02    4.71e-02    5.6e-08
 170900      5.23e-02    5.27e-02      6.15e-05    1.58e-04      5.09e-02    5.12e-02    5.6e-08
 171000      4.58e-02    5.58e-02      5.16e-04    7.96e-04      4.35e-02    5.21e-02    5.6e-08
 171100      4.78e-02    5.25e-02      2.06e-04    5.25e-04      4.64e-02    5.01e-02    5.6e-08
 171200      4.97e-02    5.39e-02      1.34e-04    5.84e-04      4.83e-02    5.12e-02    5.6e-08
 171300      5.90e-02    5.63e-02      1.18e-04    6.90e-04      5.73e-02    5.32e-02    5.6e-08
 171400      3.55e-02    4.91e-02      4.47e-04    1.60e-05      3.35e-02    4.77e-02    5.6e-08
 171500      4.92e-02    4.71e-02      7.71e-04    8.46e-04      4.55e-02    4.29e-02    5.6e-08
 171600      4.80e-02    4.85e-02      7.05e-04    5.71e-04      4.47e-02    4.60e-02    5.6e-08
 171700      5.17e-02    4.42e-02      3.57e-04    4.64e-04      4.99e-02    4.21e-02    5.6e-08
 171800      4.52e-02    4.73e-02      1.19e-05    3.25e-04      4.40e-02    4.56e-02    5.6e-08
 171900      4.79e-02    4.97e-02      3.23e-04    3.96e-04      4.62e-02    4.77e-02    5.6e-08
 172000      4.36e-02    5.99e-02      8.94e-05    1.98e-04      4.24e-02    5.81e-02    5.6e-08
 172100      4.69e-02    5.08e-02      1.81e-04    7.36e-04      4.55e-02    4.74e-02    5.6e-08
 172200      5.55e-02    5.31e-02      6.85e-05    6.63e-04      5.39e-02    5.01e-02    5.6e-08
 172300      4.84e-02    4.91e-02      5.78e-05    3.96e-04      4.71e-02    4.72e-02    5.6e-08
 172400      5.19e-02    4.94e-02      2.09e-04    1.33e-04      5.04e-02    4.80e-02    5.6e-08
 172500      5.19e-02    4.84e-02      9.05e-05    4.45e-04      5.05e-02    4.63e-02    5.6e-08
 172600      4.64e-02    4.23e-02      6.98e-05    1.47e-05      4.51e-02    4.12e-02    5.6e-08
 172700      5.10e-02    3.85e-02      4.40e-05    1.51e-04      4.97e-02    3.74e-02    5.6e-08
 172800      5.12e-02    4.96e-02      9.21e-05    1.21e-04      4.98e-02    4.82e-02    5.6e-08
 172900      4.90e-02    5.22e-02      2.25e-04    1.63e-04      4.74e-02    5.07e-02    5.6e-08
 173000      4.74e-02    4.99e-02      4.11e-04    4.33e-04      4.55e-02    4.79e-02    5.6e-08
 173100      5.47e-02    5.08e-02      5.87e-04    4.27e-04      5.21e-02    4.88e-02    5.6e-08
 173200      4.45e-02    5.49e-02      2.98e-04    8.01e-04      4.29e-02    5.12e-02    5.6e-08
 173300      5.36e-02    5.40e-02      6.96e-04    4.14e-04      5.05e-02    5.19e-02    5.6e-08
 173400      4.84e-02    5.09e-02      3.92e-04    7.03e-04      4.65e-02    4.77e-02    5.6e-08
 173500      5.03e-02    5.83e-02      7.25e-06    1.15e-03      4.89e-02    5.24e-02    5.6e-08
 173600      4.86e-02    5.79e-02      3.94e-04    1.34e-04      4.67e-02    5.63e-02    5.6e-08
 173700      5.81e-02    5.87e-02      1.31e-03    1.73e-03      5.07e-02    4.67e-02    5.6e-08
 173800      4.07e-02    5.41e-02      4.97e-04    3.47e-04      3.85e-02    5.22e-02    5.6e-08
 173900      4.99e-02    4.72e-02      1.34e-04    7.49e-04      4.85e-02    4.37e-02    5.6e-08
 174000      4.98e-02    5.46e-02      2.46e-04    1.24e-04      4.83e-02    5.31e-02    5.6e-08
 174100      5.33e-02    5.74e-02      8.77e-04    7.45e-04      4.91e-02    5.40e-02    5.6e-08
 174200      4.52e-02    4.98e-02      8.95e-05    4.97e-04      4.40e-02    4.75e-02    5.6e-08
 174300      5.00e-02    6.02e-02      7.64e-04    7.07e-04      4.64e-02    5.70e-02    5.6e-08
 174400      5.75e-02    5.68e-02      8.69e-04    9.21e-04      5.35e-02    5.24e-02    5.6e-08
 174500      3.86e-02    5.29e-02      1.01e-04    1.64e-04      3.76e-02    5.14e-02    5.6e-08
 174600      5.54e-02    5.13e-02      8.62e-04    2.48e-04      5.13e-02    4.96e-02    5.6e-08
 174700      5.24e-02    5.58e-02      2.30e-04    3.16e-04      5.08e-02    5.40e-02    5.6e-08
 174800      5.13e-02    4.76e-02      4.70e-04    7.32e-04      4.91e-02    4.41e-02    5.6e-08
 174900      5.20e-02    3.76e-02      2.00e-04    6.74e-05      5.04e-02    3.66e-02    5.6e-08
 175000      5.06e-02    5.39e-02      6.85e-04    6.94e-04      4.78e-02    5.11e-02    4.2e-08
 175100      5.81e-02    4.14e-02      1.02e-03    3.16e-04      5.34e-02    4.01e-02    4.2e-08
 175200      4.75e-02    4.74e-02      3.01e-04    3.95e-04      4.62e-02    4.58e-02    4.2e-08
 175300      4.78e-02    5.12e-02      2.03e-05    4.17e-04      4.69e-02    4.95e-02    4.2e-08
 175400      5.18e-02    4.98e-02      1.06e-03    1.15e-04      4.65e-02    4.88e-02    4.2e-08
 175500      5.23e-02    4.40e-02      3.61e-04    7.03e-04      5.07e-02    4.09e-02    4.2e-08
 175600      4.82e-02    5.33e-02      8.72e-05    3.56e-04      4.72e-02    5.17e-02    4.2e-08
 175700      4.79e-02    5.33e-02      1.05e-04    6.75e-04      4.69e-02    5.06e-02    4.2e-08
 175800      4.84e-02    5.16e-02      6.64e-04    1.99e-04      4.56e-02    5.04e-02    4.2e-08
 175900      5.14e-02    5.42e-02      6.99e-05    4.38e-04      5.04e-02    5.24e-02    4.2e-08
 176000      5.21e-02    5.44e-02      2.09e-04    4.43e-04      5.09e-02    5.26e-02    4.2e-08
 176100      4.98e-02    4.81e-02      1.14e-04    2.62e-04      4.87e-02    4.69e-02    4.2e-08
 176200      7.24e-02    4.86e-02      6.29e-05    9.70e-05      7.09e-02    4.76e-02    4.2e-08
 176300      4.93e-02    5.49e-02      3.62e-04    4.38e-04      4.78e-02    5.31e-02    4.2e-08
 176400      5.53e-02    4.62e-02      6.22e-04    8.61e-05      5.28e-02    4.53e-02    4.2e-08
 176500      5.40e-02    4.60e-02      7.03e-04    4.14e-04      5.11e-02    4.43e-02    4.2e-08
 176600      5.43e-02    4.57e-02      3.72e-05    2.90e-04      5.31e-02    4.44e-02    4.2e-08
 176700      3.86e-02    4.54e-02      3.53e-05    1.24e-04      3.78e-02    4.45e-02    4.2e-08
 176800      3.70e-02    5.00e-02      1.72e-04    3.34e-04      3.61e-02    4.85e-02    4.2e-08
 176900      5.00e-02    4.90e-02      2.80e-04    2.61e-04      4.87e-02    4.78e-02    4.2e-08
 177000      4.52e-02    4.94e-02      2.83e-04    3.62e-04      4.39e-02    4.79e-02    4.2e-08
 177100      4.91e-02    5.55e-02      7.04e-05    4.73e-04      4.80e-02    5.36e-02    4.2e-08
 177200      4.95e-02    5.01e-02      9.77e-05    1.66e-04      4.84e-02    4.89e-02    4.2e-08
 177300      5.47e-02    5.73e-02      3.18e-04    1.51e-03      5.33e-02    4.80e-02    4.2e-08
 177400      5.81e-02    7.66e-02      1.39e-04    2.30e-04      5.68e-02    7.49e-02    4.2e-08
 177500      4.98e-02    5.45e-02      6.96e-04    5.63e-04      4.69e-02    5.23e-02    4.2e-08
 177600      5.05e-02    5.16e-02      1.51e-04    2.99e-04      4.94e-02    5.03e-02    4.2e-08
 177700      4.92e-02    4.42e-02      4.41e-04    3.25e-04      4.74e-02    4.29e-02    4.2e-08
 177800      4.59e-02    5.07e-02      1.43e-05    3.23e-04      4.50e-02    4.93e-02    4.2e-08
 177900      4.98e-02    5.54e-02      2.45e-04    6.17e-05      4.86e-02    5.43e-02    4.2e-08
 178000      5.45e-02    5.70e-02      9.85e-04    5.43e-04      5.00e-02    5.48e-02    4.2e-08
 178100      5.29e-02    5.98e-02      3.61e-04    5.06e-04      5.13e-02    5.78e-02    4.2e-08
 178200      4.72e-02    5.08e-02      1.17e-04    3.43e-04      4.62e-02    4.94e-02    4.2e-08
 178300      4.19e-02    4.78e-02      5.42e-05    1.11e-04      4.10e-02    4.68e-02    4.2e-08
 178400      4.79e-02    4.84e-02      2.35e-04    2.35e-04      4.67e-02    4.72e-02    4.2e-08
 178500      5.39e-02    4.96e-02      8.85e-04    4.41e-04      5.00e-02    4.78e-02    4.2e-08
 178600      4.98e-02    4.99e-02      3.80e-04    7.15e-04      4.83e-02    4.69e-02    4.2e-08
 178700      5.27e-02    5.05e-02      4.92e-05    5.76e-04      5.17e-02    4.82e-02    4.2e-08
